Rating (1-5) and the number of ratings for each wine product
Year: 2022
,
 ProductID,Rating,NumberOfRatings
,p003501,3.9,99
,p008184,4.0,473
,p004183,3.4,152
,p000442,4.6,133
,p001699,4.1,64
,p002298,3.3,29
,p005218,4.0,248
,p000845,3.7,124
,p010329,3.7,150
,p011066,3.3,209
,p011621,4.2,67
,p008824,4.2,48
,p004167,3.8,152
,p013348,3.7,57
,p004919,3.6,372
,p005085,3.7,102
,p000727,3.8,266
,p007951,4.0,103
,p007926,4.5,38
,p011663,4.3,106
,p003237,3.4,719
,p013754,4.1,77
,p008079,4.1,250
,p010290,3.9,281
,p007487,3.8,280
,p006040,3.7,32
,p013420,4.4,526
,p003409,3.7,139
,p010795,2.8,50
,p005061,4.2, 1341
,p011485,4.4,860
,p008318,3.5,336
,p002722,4.2,110
,p000344,4.1,46
,p007043,4.6,109
,p012812,3.7,288
,p012537,3.8, 3177
,p007136,3.8,100
,p012207,4.2,97
,p002200,4.1,132
,p008478,3.9,142
,p008082,3.7,26
,p002676,3.9,400
,p001653,3.7,35
,p000236,4.0,123
,p007596,3.9,377
,p002934,3.9,213
,p001020,3.9,88
,p012011,4.0,72
,p000917,3.6,41
,p001698,4.3,118
,p009047,4.3,47
,p013283,3.7,137
,p004815,4.2,244
,p003954,4.3, 1033
,p004943,4.4,57
,p010574,4.1,263
,p007988,3.8,187
,p001520,3.2,132
,p012342,3.3,60
,p001585,4.3,35
,p008157,3.6,49
,p008099,4.1, 1222
,p006545,3.6,160
,p007755,3.4,27
,p006186,3.6,27
,p000001,4.2,269
,p009558,3.8,97
,p010139,4.4,27
,p013202,4.1,885
,p000414,4.3,485
,p006861,3.8,64
,p011148,3.7,828
,p012393,4.1, 4082
,p001637,3.7,66
,p011348,4.4,78
,p006595,3.8, 1608
,p006531,3.4,173
,p007118,3.8,202
,p002927,3.2,29
,p002323,3.8,78
,p005131,3.8,493
,p005203,3.5,40
,p013744,3.7,277
,p000098,4.1,398
,p006522,3.7,31
,p000952,4.2,183
,p011809,3.9,177
,p003360,3.4,31
,p008348,4.3,131
,p000536,3.6,239
,p004907,4.0,170
,p009635,3.5,95
,p011519,3.8, 1270
,p005084,4.3,43
,p000495,3.6,35
,p009030,3.8,331
,p011652,4.5,269
,p000563,3.7,43
,p006930,3.7,55
,p003425,3.5,69
,p008722,4.0,31
,p004285,4.0,36
,p006571,3.9,285
,p006505,4.2,106
,p011845,3.6,96
,p012612,4.1,113
,p011992,3.7,122
,p012354,3.5,549
,p005895,3.6,306
,p001788,3.4,96
,p012178,3.5,455
,p010580,3.8,32
,p009317,3.3,67
,p009482,4.6, 2069
,p009712,4.2,482
,p009383,3.8,483
,p013713,3.7,33
,p010211,3.7,33
,p006642,3.9,30
,p006789,4.0,26
,p004307,4.0,736
,p006005,3.8,896
,p003185,3.7,154
,p000575,3.7,139
,p009675,3.4,105
,p010224,4.1,31
,p009196,3.7,45
,p000706,3.7,98
,p001231,3.6,196
,p004379,3.9,46
,p010284,3.7,141
,p007116,3.8, 3164
,p009490,3.7,915
,p005723,4.0,265
,p009670,3.6,550
,p010144,3.7,382
,p009538,3.9,166
,p001244,3.7,31
,p011163,3.6,35
,p002805,3.7,45
,p012872,3.8, 1846
,p008937,3.6,119
,p008322,4.4,74
,p005559,3.6,147
,p001955,4.1,372
,p003848,3.1,52
,p009653,3.6,71
,p002129,3.9,61
,p005076,3.5,105
,p004461,3.7,143
,p009606,3.5,308
,p011983,3.8,64
,p009528,4.2, 3261
,p003192,3.7,237
,p004717,4.1,49
,p008253,4.0,237
,p011222,4.3,880
,p003260,3.6,274
,p002966,3.9,505
,p001196,3.7,792
,p009028,3.8,78
,p006008,3.6,54
,p012884,3.7,29
,p004830,4.2, 1179
,p010177,4.3, 5006
,p007587,3.7,32
,p001789,4.1,448
,p004349,3.9,188
,p011843,3.6,206
,p000047,4.0,219
,p004178,4.0,255
,p006540,3.8,101
,p001779,4.3,82
,p002773,4.0,96
,p002163,4.0,791
,p006852,4.1,49
,p008217,3.9,77
,p011922,3.9,62
,p011909,4.2,129
,p008591,3.7,315
,p006519,4.2,87
,p002388,3.7,82
,p003729,3.8,49
,p000321,3.8,279
,p001474,3.8,28
,p008822,3.9,42
,p004816,4.0,72
,p011499,4.0,53
,p011522,3.8,433
,p002241,3.3,202
,p002916,3.8,331
,p010605,4.1,162
,p004818,3.4,145
,p011835,3.9,355
,p004611,3.3,77
,p001029,3.3,937
,p012889,4.0,29
,p012379,3.7,288
,p008031,4.0,29
,p000539,4.0,389
,p001397,4.1,120
,p011245,3.7, 1009
,p003986,4.1, 1615
,p006640,3.6,90
,p003341,3.7,98
,p011194,3.7,102
,p008538,4.1,35
,p002640,4.1,52
,p004596,3.7, 1034
,p012406,4.1,179
,p005905,4.2,155
,p008336,3.9,68
,p004120,3.3,27
,p003676,4.0,128
,p003470,3.5,65
,p009252,4.1,68
,p009659,3.4,65
,p007723,3.8,344
,p002469,3.5,215
,p001675,3.9,66
,p003206,3.6,160
,p004727,3.6,43
,p012546,4.3,349
,p010468,3.6,136
,p012333,3.9,930
,p002202,4.1,121
,p008179,3.8,71
,p012332,4.0,35
,p007765,3.5,347
,p004488,3.3,36
,p005615,4.1,31
,p005882,4.6,78
,p006250,4.2,607
,p003626,3.8,167
,p004079,3.8,214
,p004766,4.3,48
,p000758,3.7,107
,p011677,3.5,148
,p011976,3.8,41
,p009109,4.1,288
,p011339,3.7,48
,p000305,4.3,42
,p007151,3.7,46
,p011270,3.8,386
,p003207,4.1,383
,p013659,3.9,184
,p006433,4.0,76
,p007510,4.0,275
,p004389,3.8,28
,p009772,4.0,100
,p007897,4.2,231
,p009850,3.7,81
,p002470,3.5,736
,p004054,4.1, 1314
,p006580,3.9,48
,p008391,3.8,63
,p013011,3.5,544
,p002238,3.8,131
,p002456,4.3,59
,p012942,3.6,251
,p002004,3.4,173
,p001357,3.7,36
,p009334,3.4,38
,p012541,3.8,68
,p007454,3.6,383
,p002493,3.6,231
,p002984,3.9,176
,p000357,3.6,283
,p005073,4.0,651
,p000737,4.1,339
,p007559,3.9, 5105
,p003697,3.9,420
,p010204,3.9,40
,p010833,3.6,82
,p001921,3.4,84
,p000627,3.8,37
,p004468,3.8,30
,p000140,4.0,29
,p013565,3.8,122
,p008483,3.8,40
,p002125,3.3,183
,p006619,4.2,77
,p012585,4.0,46
,p003956,3.9,48
,p007294,3.6,459
,p011046,4.3,113
,p007148,4.3,155
,p007907,3.7,184
,p013628,4.0,26
,p008167,4.3, 1029
,p005018,4.0,106
,p005833,3.3,580
,p007081,3.3,677
,p006658,3.4,40
,p004201,4.1,41
,p002562,4.3,888
,p004531,3.2,52
,p001475,3.6,84
,p005197,4.2,44
,p008579,4.2,470
,p004515,3.8,121
,p006485,3.9,73
,p005110,4.0,975
,p010895,3.2,106
,p007738,4.3,396
,p006326,3.9,102
,p002340,3.5,42
,p011796,3.6,336
,p012148,4.4,694
,p004905,4.1,205
,p011257,4.3,41
,p012385,3.6, 1696
,p007606,4.0,63
,p008427,3.9,66
,p011075,3.8,210
,p001953,3.7,114
,p006335,4.2,29
,p003495,4.0,806
,p013462,3.9,185
,p007018,3.6, 2090
,p009059,4.1,409
,p013557,4.2,30
,p010938,4.1,190
,p011613,4.3,253
,p007954,3.6, 1400
,p010649,4.0,121
,p011009,4.1,184
,p006946,3.4,60
,p005002,3.8,45
,p006051,3.7,618
,p009079,3.6,209
,p001019,3.4,221
,p003074,4.2,87
,p013204,4.0,194
,p002353,3.8,59
,p010636,3.8,241
,p013242,3.4,47
,p007386,4.0,44
,p008115,2.9,175
,p013501,4.3,63
,p007404,3.5,65
,p010768,4.2,547
,p006939,4.3,31
,p012700,3.8,98
,p001388,4.0,106
,p000188,3.7,39
,p002022,4.1,34
,p008557,3.8,146
,p006760,3.8,433
,p010713,3.9,122
,p007518,4.0,364
,p004010,3.7,449
,p005832,4.1,998
,p008623,3.7,50
,p008012,3.7,32
,p008719,4.0,76
,p011461,3.5,45
,p000787,4.0,90
,p006829,3.6,60
,p008016,3.5,68
,p012866,3.5,72
,p005509,3.9,79
,p011135,4.2,263
,p013517,4.0,32
,p009871,3.9,43
,p011089,4.1,415
,p001306,3.9,38
,p012280,3.9,53
,p004756,3.9,295
,p007208,3.6,546
,p010479,4.4,520
,p001752,3.3,186
,p007408,3.6,449
,p007787,4.1,72
,p012607,3.8,198
,p007541,4.2, 1896
,p005961,4.2,414
,p008190,3.6,169
,p007044,4.1,115
,p005564,3.9,433
,p005928,3.7,69
,p002870,3.7,713
,p002453,3.5,743
,p011205,4.1,36
,p001032,4.0,644
,p007893,4.1,631
,p013551,4.1,27
,p006150,3.6,190
,p000037,3.6,114
,p003846,3.5,27
,p003130,3.4,97
,p004987,3.7,87
,p012200,3.6,57
,p009541,4.0,285
,p000222,4.2,166
,p009948,4.2,629
,p008288,4.3, 1705
,p009355,3.8,147
,p005123,3.8,119
,p007918,3.7,28
,p000112,4.3,246
,p003299,4.1,56
,p002767,3.7,37
,p005591,4.1,48
,p003695,3.7,53
,p003917,4.0,49
,p000439,3.8,498
,p011813,3.8,157
,p012795,4.3,375
,p000122,4.2, 1436
,p013475,3.7,730
,p010269,3.5,177
,p008701,4.1,146
,p005172,3.7,41
,p004993,3.8,145
,p013445,3.9,59
,p007820,3.7,81
,p005659,3.8,286
,p013391,3.7,104
,p011439,3.7,228
,p005323,3.8,29
,p008102,3.9,84
,p005298,4.1,30
,p011649,4.0,583
,p002589,3.8,302
,p008679,3.9,514
,p012921,3.5,88
,p004864,3.5,297
,p008241,4.1, 2866
,p004718,3.5,273
,p008422,3.8,134
,p001736,3.7,127
,p011946,4.2,249
,p012936,4.4,92
,p002772,4.2,859
,p004272,3.6,34
,p004406,4.1,127
,p006425,3.5,26
,p009336,4.2, 8025
,p005279,4.0,822
,p013370,3.8,84
,p005910,4.1,760
,p004638,3.7,70
,p008488,3.7,174
,p007089,3.9,46
,p005811,3.4,27
,p012323,4.4,320
,p007060,3.9,157
,p011050,4.0,478
,p003744,4.1,113
,p000108,3.6,66
,p001863,3.8,299
,p010198,3.6,144
,p005399,4.2,79
,p008552,4.5,185
,p011087,4.1,340
,p003544,3.8,655
,p011968,3.9,114
,p009529,3.6,174
,p006226,3.4,41
,p004419,3.8,36
,p004625,4.7,55
,p001922,4.3,79
,p002077,3.8,306
,p006557,4.1,507
,p008653,3.8,83
,p007297,4.4,236
,p001811,4.3,25
,p002177,3.6,336
,p006803,4.0,427
,p012935,4.0,70
,p002245,3.9,208
,p012608,4.1,27
,p000895,3.5,106
,p006314,3.4,74
,p013439,4.1, 1590
,p013822,3.6,78
,p009176,4.1,507
,p003536,3.7, 1806
,p010481,3.4,202
,p006883,4.4,185
,p004466,3.9,180
,p005639,4.1,40
,p006949,4.4,402
,p001493,4.0,635
,p013046,3.7,340
,p013158,3.9,25
,p011713,3.8,39
,p000343,3.4, 1318
,p003830,3.3,48
,p002475,3.8,51
,p008279,4.1,205
,p012054,3.8,383
,p004974,4.0,52
,p000295,3.7,74
,p006713,3.9,213
,p001696,4.3,505
,p013794,3.9,247
,p002910,4.3, 1073
,p004290,4.0,162
,p000232,3.1,44
,p005988,3.9,45
,p001486,4.4,13969
,p002872,3.8,208
,p009902,3.6,30
,p000532,3.6,341
,p011762,3.8,676
,p012223,4.0,70
,p001270,3.7, 1913
,p011113,4.3,174
,p005805,3.7,157
,p002431,4.4,204
,p005660,4.3,86
,p009536,4.3,573
,p005866,4.2,25
,p009075,3.7,113
,p012799,3.8,358
,p000254,4.0,87
,p001594,3.9,55
,p008398,4.5,657
,p003592,4.2,280
,p006763,4.0,27
,p000025,4.2,710
,p000994,4.1,487
,p007187,4.1,446
,p004383,3.8,27
,p012435,4.0,129
,p012531,4.4,145
,p005361,3.8,89
,p003178,4.2,714
,p001959,3.9,61
,p010315,3.8,160
,p010252,3.8,79
,p004859,4.1,141
,p009580,4.0,315
,p006636,4.2,254
,p004593,3.9,68
,p003964,4.1,34
,p007575,4.0,30
,p005116,3.9,72
,p010083,3.5,49
,p000540,3.8,890
,p013819,3.7,341
,p003740,3.9,182
,p008717,4.0,268
,p002689,4.5,140
,p011962,3.4,75
,p009933,4.3,33
,p009413,4.3,69
,p008225,3.8,26
,p007396,3.5, 4329
,p012225,3.5,518
,p001939,4.1,10676
,p006554,3.6,98
,p002769,4.4,808
,p001082,4.2,482
,p007258,3.8,39
,p012985,3.8,25
,p004198,3.6,58
,p012597,4.3,27
,p001721,3.8,81
,p009839,4.0,260
,p006288,3.7,44
,p002252,3.7,42
,p002596,4.2,825
,p004023,3.7,165
,p010741,3.4,37
,p008566,3.8,33
,p010854,4.1,60
,p011557,3.9,265
,p009363,3.9,99
,p007871,4.3, 4596
,p010128,3.9,91
,p001591,4.1,313
,p009214,4.2,206
,p009873,3.5,128
,p007512,3.9,106
,p013193,4.3,57
,p007844,3.8,177
,p001887,3.7,510
,p000211,3.6,34
,p005683,3.8,35
,p006766,4.0, 2908
,p006153,4.0,32
,p001076,3.9,51
,p002954,3.8,29
,p008815,4.2, 5217
,p012104,4.4,103
,p002294,3.6,43
,p013313,3.8,296
,p002383,4.2,947
,p002935,3.7,86
,p010169,3.8, 2861
,p001880,4.0,30
,p010448,3.3,52
,p002900,3.8,101
,p007563,4.5,155
,p001198,3.7,229
,p000920,3.8,122
,p006754,4.1,92
,p010283,3.8,34
,p004395,3.8,63
,p003788,4.2,625
,p007316,4.2,356
,p007322,4.3,629
,p000837,4.2,224
,p005674,3.3,26
,p009786,3.8,181
,p001890,3.7,34
,p010727,4.2,35
,p005670,4.1,149
,p011709,4.2,27
,p013584,4.4,117
,p008772,4.0,112
,p008833,4.5,14148
,p009025,3.6,32
,p008108,3.7,63
,p009112,3.2,722
,p000847,3.6,29
,p005033,4.2,78
,p006393,3.9,362
,p008027,3.8,135
,p005581,3.5,83
,p011667,3.7,598
,p009100,3.7,149
,p007035,4.3,288
,p001310,3.9,760
,p005350,3.6,62
,p013791,3.8,42
,p009098,3.9,366
,p000893,3.6,254
,p013234,3.7,140
,p012020,3.6,118
,p003302,4.3,34
,p010788,4.2,60
,p004222,3.6,34
,p006413,3.4,89
,p000609,3.8,108
,p005715,3.6, 1020
,p012345,3.6,101
,p006643,3.8,187
,p005225,3.7,37
,p006178,3.6,327
,p010026,4.5,178
,p009962,3.7,31
,p008592,3.8,34
,p006898,3.6,81
,p010437,3.4,53
,p007599,4.7,207
,p009394,3.5,212
,p006749,4.0,359
,p001071,4.1,30
,p010129,3.8,211
,p010431,4.0,33
,p006339,4.3,71
,p005366,3.9,34
,p009741,4.2,43
,p005523,3.9,61
,p003942,3.6,135
,p005320,3.5,101
,p006024,3.9,105
,p003836,3.7, 1262
,p005934,3.6,215
,p011526,3.8, 1381
,p006395,3.8,57
,p004328,3.5,965
,p004165,4.4,98
,p006418,4.0,358
,p012324,4.3,29
,p013296,3.2,292
,p011587,3.6,73
,p000045,3.8, 2889
,p000177,4.3,639
,p011636,4.0,183
,p011864,4.4,57
,p012063,4.1,29
,p012709,3.3,34
,p010377,3.9,32
,p009820,4.0,107
,p002145,3.9,43
,p013195,3.4,36
,p010054,3.8,25
,p011953,3.6,95
,p007368,4.0,212
,p010342,3.6,166
,p005428,4.2,188
,p005597,3.8,199
,p012624,3.4,29
,p012922,4.2,269
,p002143,3.2,135
,p005030,3.7,37
,p012780,4.0,291
,p012744,3.6,75
,p005182,3.8,62
,p007707,3.5,25
,p005414,3.8,87
,p000513,4.1,593
,p007268,3.6,831
,p001164,4.4,159
,p007360,3.8,643
,p009013,4.0,179
,p004773,3.7,488
,p012623,4.0,126
,p009337,4.6,295
,p009123,3.6,53
,p004499,4.1, 2595
,p007470,3.2,69
,p004843,3.6,271
,p012827,4.2,120
,p001391,3.6,46
,p009714,4.0,25
,p007432,4.2,38
,p007840,3.9,29
,p004116,3.9,564
,p002161,3.8,124
,p011020,4.2,71
,p011696,3.8, 1475
,p009254,3.5,25
,p013196,4.3,39
,p006245,3.5,64
,p002723,4.0,57
,p004973,4.1,408
,p009810,3.9,156
,p005947,4.0,129
,p005251,3.8,39
,p002764,3.9,617
,p008731,3.8,556
,p000274,4.2,86
,p011530,3.6,538
,p007803,3.7,536
,p002980,3.7, 1274
,p001168,3.8,171
,p011837,4.3,84
,p003655,3.8,30
,p008246,3.9,25
,p001333,3.7,496
,p009437,3.8,152
,p002643,3.4,29
,p005377,3.6,632
,p004410,4.2,25
,p005737,3.6,61
,p013119,3.6,152
,p011538,3.8, 1620
,p012264,3.4,51
,p011521,4.2,470
,p004467,3.8,371
,p004317,3.5, 1670
,p006601,4.4, 1028
,p010260,3.8,153
,p001957,3.7,305
,p003987,4.2,471
,p004853,3.8,890
,p012371,4.0,224
,p007860,3.7,115
,p011197,3.9,176
,p002998,3.8,176
,p000755,3.7,98
,p004797,3.6,44
,p011553,3.7,123
,p013288,3.6,143
,p009599,3.8,794
,p003249,4.2,383
,p001186,4.1,247
,p006443,4.0,101
,p008920,4.0,221
,p001567,3.8, 1273
,p008720,4.4,596
,p001379,3.6,29
,p005228,4.2,97
,p004259,3.8,187
,p008707,4.4,450
,p006992,4.3,42
,p005133,3.6,106
,p006011,3.7,42
,p001250,3.8,143
,p011371,3.8,42
,p013614,3.9,238
,p013832,3.9,81
,p005348,4.1, 2342
,p004850,3.6,33
,p011832,3.4,55
,p006849,4.2,54
,p013764,3.5,41
,p004360,3.9,551
,p002858,4.2,185
,p000079,3.4, 1066
,p004226,3.6,39
,p011249,3.6, 2598
,p001374,4.0,40
,p011833,3.8,37
,p007076,4.0,106
,p013208,4.0,42
,p007995,3.9,62
,p001757,3.6,44
,p003903,3.8,450
,p002398,3.7,211
,p006691,4.1,32
,p010412,3.8,53
,p007077,3.9,55
,p013133,4.5,81
,p013326,3.6,61
,p012034,3.9,76
,p009603,3.7,285
,p000349,3.9,44
,p007567,3.6,404
,p004188,3.7,101
,p003199,4.0,54
,p003488,3.7,31
,p007621,3.6,30
,p013665,4.1,586
,p010861,3.9,56
,p005561,3.6,130
,p001911,4.5,113
,p012192,3.5,642
,p002942,4.2,373
,p007822,4.0,29
,p008994,3.5, 1361
,p009947,4.1,119
,p001524,3.5,60
,p005260,3.6,59
,p009953,4.4,360
,p011979,3.8,676
,p009387,4.0,95
,p010062,3.9,56
,p007887,3.5,189
,p012937,4.2,260
,p002750,3.9,43
,p012841,3.8,61
,p007680,3.7, 1164
,p007804,3.7,188
,p008899,3.9,144
,p001897,4.3,132
,p004221,3.6,64
,p006104,4.2,126
,p009460,4.0,218
,p003572,3.8,851
,p002265,4.4,706
,p011517,3.7,28
,p013227,3.6,285
,p002287,3.8,446
,p007488,3.6, 3818
,p002547,4.3,41
,p010787,3.7,461
,p006329,3.7,157
,p011055,4.2,80
,p006527,4.1,76
,p006699,3.6,46
,p010824,4.1, 1379
,p013355,4.0,221
,p009206,4.3,188
,p000118,3.8,29
,p007712,4.2,200
,p007900,3.9,393
,p006901,4.2,93
,p005456,4.1,27
,p009793,3.8,458
,p000662,3.8,26
,p011756,3.9,166
,p009224,3.8,243
,p007668,3.8,183
,p012130,3.8,55
,p002964,3.5,81
,p012657,3.6,358
,p005199,3.8,751
,p010306,3.6,179
,p010617,4.4,32
,p011633,3.5,333
,p003300,4.1,49
,p007799,3.6, 1365
,p008406,4.0,979
,p002169,3.4,68
,p013127,4.1,409
,p002299,4.2,576
,p003613,4.1,107
,p004690,3.5,174
,p013611,4.0,44
,p004224,4.0,776
,p000023,4.2,32
,p010627,4.3,672
,p006973,4.0,542
,p004695,3.4,56
,p003117,3.5,27
,p002045,3.8, 1969
,p003566,3.9,404
,p005283,4.1, 4847
,p003889,3.9,585
,p010942,3.9,25
,p008683,3.8,80
,p012692,3.4,71
,p001264,4.2, 1022
,p002254,3.3,334
,p001613,3.9,10697
,p003118,3.6,361
,p011685,3.9,89
,p009077,4.5,66
,p002209,3.8,231
,p002827,4.2,43
,p004497,4.2,61
,p011498,3.9,165
,p007298,3.7,60
,p008946,4.1,48
,p004573,3.3,29
,p010919,3.9,90
,p003386,3.5,689
,p004784,4.7,204
,p002594,3.9, 1515
,p001418,3.9,44
,p011238,4.1,404
,p007657,3.8,179
,p009576,3.6,41
,p013156,4.3, 1539
,p010417,3.8,117
,p000673,4.0,32
,p000291,3.9,253
,p009617,3.5,30
,p000107,3.8, 1045
,p006227,4.2,27
,p013469,4.3,72
,p005511,3.4,69
,p013396,3.8,45
,p008613,3.9,38
,p002052,4.1,40
,p003368,4.4,108
,p000824,3.8,274
,p011675,3.8,47
,p007100,4.7,812
,p009621,3.8, 2161
,p005652,3.6,233
,p012392,3.6,90
,p000178,3.7,539
,p003657,3.7,239
,p011200,3.9,53
,p005441,3.8,119
,p005104,3.9,196
,p000629,3.9,26
,p005427,3.9,104
,p004056,4.1,31
,p008655,4.2,57
,p007129,3.5,122
,p006575,3.8,63
,p000768,4.1,68
,p005206,4.2,263
,p011862,4.3,27
,p007050,4.4, 1423
,p006160,4.3,82
,p009151,4.1,352
,p007711,4.0,61
,p008576,3.4,456
,p001247,3.9,72
,p005745,4.5,500
,p009290,3.8,841
,p005059,3.9,225
,p013595,3.8,58
,p008447,4.1,234
,p001666,4.0,108
,p011350,4.1,425
,p001208,4.0,62
,p007816,3.9,48
,p010061,3.9,191
,p001978,4.1,122
,p006442,4.1,427
,p001991,4.0,627
,p005974,3.8,30
,p004142,3.9, 1540
,p008270,4.2,284
,p007033,3.8, 1070
,p006470,3.7,310
,p002619,3.8,172
,p000314,3.8,103
,p009451,3.9,650
,p013306,3.3,27
,p004021,4.1,718
,p004856,3.6,41
,p013090,3.2,33
,p000217,3.7,166
,p013525,4.0,33
,p009795,4.1,116
,p000896,3.8,150
,p000884,3.9,29
,p001849,4.5,211
,p010098,3.7,46
,p012645,3.6,174
,p012432,3.6,428
,p009468,3.8,474
,p012807,3.5,138
,p009314,3.8,509
,p011908,3.9,32
,p003224,4.1,80
,p010660,3.9,64
,p013354,4.0,90
,p009764,3.6,197
,p007717,4.2,578
,p002326,4.4,560
,p012197,4.0,200
,p002664,3.5,121
,p011758,4.1,837
,p008459,3.6,53
,p007662,3.8,312
,p007967,4.2,69
,p002337,3.7,482
,p002184,4.0,80
,p008413,3.7,74
,p001601,4.6,105
,p001717,4.0,349
,p008000,3.9,53
,p004322,3.7,82
,p008220,4.2,10963
,p009286,3.7,87
,p006868,3.8,512
,p004998,3.8,106
,p007392,3.7, 2809
,p007449,4.0,238
,p000932,3.8,229
,p009822,4.2,735
,p001287,3.9,31
,p000721,4.0,370
,p002301,3.4,51
,p000093,4.1,66
,p002597,4.1,46
,p007371,4.3,70
,p010317,4.2, 1074
,p002948,4.1,573
,p006500,4.4,37
,p001969,3.6,535
,p007245,3.9,68
,p001903,3.7,485
,p001283,4.1, 1227
,p003704,4.3,935
,p001205,4.3,56
,p009009,4.2,326
,p003832,3.8,121
,p011786,3.8,49
,p008882,3.9,48
,p009628,3.4,212
,p000538,3.6,122
,p006989,4.3,109
,p012236,3.9,42
,p012126,4.1,39
,p013789,4.0,57
,p001543,3.8,173
,p008494,4.4,840
,p008961,3.7,190
,p012831,3.8,617
,p008600,3.7,43
,p010114,3.8, 1183
,p002684,4.0,108
,p010989,4.5,248
,p011964,3.5,63
,p001041,3.1,123
,p011947,4.3, 1311
,p001997,3.5,68
,p001395,3.9,616
,p010002,4.3,42
,p004963,3.7,448
,p011850,4.1,103
,p003529,3.8,93
,p009742,3.6,28
,p001636,4.0,28
,p005304,3.4,48
,p009916,3.7,792
,p001249,3.6,136
,p005686,3.9,60
,p013461,3.5,64
,p013136,3.7,49
,p013226,3.8,653
,p002797,3.8,45
,p005111,4.3,58
,p011993,4.3,60
,p002944,4.4,331
,p002468,3.7,155
,p005394,4.4,103
,p004015,4.0,28
,p010264,4.0,41
,p002368,3.7,685
,p013488,4.2,27
,p003882,3.9,175
,p003330,3.8,141
